destination,time,statusCode,extract_date,flight number,airline,sche_dept_time,day,actual_dept_time,delay_time,delay_min,delay_hour,airlines,airlines_ranking
MNL,11:30,DA,2020-12-17,PR 301,PR,1900-01-01 11:30:00,0 days 00:00:00.000000000,1900-01-01 11:19:00,0 days 00:00:00.000000000,0,0,"Philippine Airlines, Inc.",30
CGK,11:40,DA,2020-12-17,GA 8734,GA,1900-01-01 11:40:00,0 days 00:00:00.000000000,1900-01-01 11:47:00,0 days 00:07:00.000000000,7,0,PT. Garuda Indonesia (PERSERO) Tbk dba Garuda Indonesia,12
KIX,11:45,DA,2020-12-17,CX 506,CX,1900-01-01 11:45:00,0 days 00:00:00.000000000,1900-01-01 11:41:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
HAN,11:55,DA,2020-12-17,HX 528,HX,1900-01-01 11:55:00,0 days 00:00:00.000000000,1900-01-01 21:11:00,0 days 09:16:00.000000000,556,540,Hong Kong Airlines Limited,24
PEK,12:00,DA,2020-12-17,CX 332,CX,1900-01-01 12:00:00,0 days 00:00:00.000000000,1900-01-01 12:01:00,0 days 00:01:00.000000000,1,0,Cathay Pacific Airways Ltd.,4
BKK,12:00,DA,2020-12-17,CX 653,CX,1900-01-01 12:00:00,0 days 00:00:00.000000000,1900-01-01 12:01:00,0 days 00:01:00.000000000,1,0,Cathay Pacific Airways Ltd.,4
LAX,12:25,DA,2020-12-17,CX 884,CX,1900-01-01 12:25:00,0 days 00:00:00.000000000,1900-01-01 12:25:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,12:25,DA,2020-12-17,BR 868,BR,1900-01-01 12:25:00,0 days 00:00:00.000000000,1900-01-01 12:32:00,0 days 00:07:00.000000000,7,0,EVA Airways Corporation,6
SIN,12:30,DA,2020-12-17,SQ 891,SQ,1900-01-01 12:30:00,0 days 00:00:00.000000000,1900-01-01 12:34:00,0 days 00:04:00.000000000,4,0,Singapore Airlines Limited,2
TPE,12:50,DA,2020-12-17,BR 810,BR,1900-01-01 12:50:00,0 days 00:00:00.000000000,1900-01-01 13:34:00,0 days 00:44:00.000000000,44,0,EVA Airways Corporation,6
KUL,12:50,DA,2020-12-17,CX 725,CX,1900-01-01 12:50:00,0 days 00:00:00.000000000,1900-01-01 12:44:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
MNL,13:10,DA,2020-12-17,5J 117,5J,1900-01-01 13:10:00,0 days 00:00:00.000000000,1900-01-01 13:04:00,0 days 00:00:00.000000000,0,0,"Cebu Air, Inc dba Cebu Pacific Air",100+
PVG,13:40,DA,2020-12-17,CX 360,CX,1900-01-01 13:40:00,0 days 00:00:00.000000000,1900-01-01 13:44:00,0 days 00:04:00.000000000,4,0,Cathay Pacific Airways Ltd.,4
TPE,13:40,DA,2020-12-17,HX 254,HX,1900-01-01 13:40:00,0 days 00:00:00.000000000,1900-01-01 13:55:00,0 days 00:15:00.000000000,15,0,Hong Kong Airlines Limited,24
NRT,14:00,DA,2020-12-17,AA 9741,AA,1900-01-01 14:00:00,0 days 00:00:00.000000000,1900-01-01 14:06:00,0 days 00:06:00.000000000,6,0,American Airlines Inc.,74
KUL,14:00,DA,2020-12-17,MH 073,MH,1900-01-01 14:00:00,0 days 00:00:00.000000000,1900-01-01 13:57:00,0 days 00:00:00.000000000,0,0,Malaysia Airlines Berhad dba Malaysia Airlines,36
TPE,14:10,DA,2020-12-17,CI 910,CI,1900-01-01 14:10:00,0 days 00:00:00.000000000,1900-01-01 13:26:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
SIN,14:10,DA,2020-12-17,SQ 863,SQ,1900-01-01 14:10:00,0 days 00:00:00.000000000,1900-01-01 13:13:00,0 days 00:00:00.000000000,0,0,Singapore Airlines Limited,2
SIN,14:10,DA,2020-12-17,TR 979,TR,1900-01-01 14:10:00,0 days 00:00:00.000000000,1900-01-01 13:59:00,0 days 00:00:00.000000000,0,0,Scoot Tigerair Pte. Ltd dba Scoot,64
